service_id,inventory_id,service_type,service_date,service_cost
123,107,tire change,2016-03-01,157.5000
124,107,oil service,2016-03-01,210.0000
125,109,tire change,2016-03-01,157.5000
126,109,oil service,2016-03-01,105.0000
127,111,tire change,2016-03-01,157.5000
128,111,oil service,2016-03-01,105.0000
129,112,tire change,2016-03-01,157.5000
130,112,oil service,2016-03-01,105.0000
131,114,tire change,2016-03-01,157.5000
132,114,oil service,2016-03-01,157.5000
133,115,tire change,2016-03-01,157.5000
134,115,oil service,2016-03-01,210.0000
135,117,tire change,2016-03-01,157.5000
136,117,oil service,2016-03-01,157.5000
137,120,tire change,2016-03-01,157.5000
138,120,oil service,2016-03-01,105.0000
139,121,tire change,2016-03-01,157.5000
140,121,oil service,2016-03-01,105.0000
141,123,tire change,2016-03-01,157.5000
142,123,oil service,2016-03-01,105.0000
143,125,tire change,2016-03-01,157.5000
144,125,oil service,2016-03-01,210.0000
145,129,tire change,2016-03-01,157.5000
146,129,oil service,2016-03-01,157.5000
147,130,tire change,2016-03-01,157.5000
148,130,oil service,2016-03-01,157.5000
149,131,tire change,2016-03-01,157.5000
150,131,oil service,2016-03-01,157.5000
151,137,tire change,2016-03-01,157.5000
152,137,oil service,2016-03-01,157.5000
153,138,tire change,2016-03-01,157.5000
154,138,oil service,2016-03-01,210.0000
155,140,tire change,2016-03-01,157.5000
156,140,oil service,2016-03-01,210.0000
157,142,tire change,2016-03-01,157.5000
158,142,oil service,2016-03-01,105.0000
159,145,tire change,2016-03-01,157.5000
160,145,oil service,2016-03-01,210.0000
161,147,tire change,2016-03-01,157.5000
162,147,oil service,2016-03-01,157.5000
163,148,tire change,2016-03-01,157.5000
164,148,oil service,2016-03-01,157.5000
165,150,tire change,2016-03-01,157.5000
166,150,oil service,2016-03-01,157.5000
167,151,tire change,2016-03-01,157.5000
168,151,oil service,2016-03-01,210.0000
169,152,tire change,2016-03-01,157.5000
170,152,oil service,2016-03-01,210.0000
171,154,tire change,2016-03-01,157.5000
172,154,oil service,2016-03-01,105.0000
173,155,tire change,2016-03-01,157.5000
174,155,oil service,2016-03-01,210.0000
175,157,tire change,2016-03-01,157.5000
176,157,oil service,2016-03-01,210.0000
177,158,tire change,2016-03-01,157.5000
178,158,oil service,2016-03-01,157.5000
179,163,tire change,2016-03-01,157.5000
180,163,oil service,2016-03-01,157.5000
181,165,tire change,2016-03-01,157.5000
182,165,oil service,2016-03-01,157.5000
183,167,tire change,2016-03-01,157.5000
184,167,oil service,2016-03-01,157.5000
185,168,tire change,2016-03-01,157.5000
186,168,oil service,2016-03-01,157.5000
187,173,tire change,2016-03-01,157.5000
188,173,oil service,2016-03-01,210.0000
189,174,tire change,2016-03-01,157.5000
190,174,oil service,2016-03-01,157.5000
191,175,tire change,2016-03-01,157.5000
192,175,oil service,2016-03-01,210.0000
193,177,tire change,2016-03-01,157.5000
194,177,oil service,2016-03-01,210.0000
195,179,tire change,2016-03-01,157.5000
196,179,oil service,2016-03-01,157.5000
197,180,tire change,2016-03-01,157.5000
198,180,oil service,2016-03-01,210.0000
199,183,tire change,2016-03-01,157.5000
200,183,oil service,2016-03-01,105.0000
201,186,tire change,2016-03-01,157.5000
202,186,oil service,2016-03-01,210.0000
203,187,tire change,2016-03-01,157.5000
204,187,oil service,2016-03-01,157.5000
205,189,tire change,2016-03-01,157.5000
206,189,oil service,2016-03-01,157.5000
207,191,tire change,2016-03-01,157.5000
208,191,oil service,2016-03-01,157.5000
209,195,tire change,2016-03-01,157.5000
210,195,oil service,2016-03-01,157.5000
211,196,tire change,2016-03-01,157.5000
212,196,oil service,2016-03-01,105.0000
213,199,tire change,2016-03-01,157.5000
214,199,oil service,2016-03-01,210.0000
215,202,tire change,2016-03-01,157.5000
216,202,oil service,2016-03-01,157.5000
217,204,tire change,2016-03-01,157.5000
218,204,oil service,2016-03-01,105.0000
219,205,tire change,2016-03-01,157.5000
220,205,oil service,2016-03-01,210.0000
221,206,tire change,2016-03-01,157.5000
222,206,oil service,2016-03-01,105.0000
223,209,tire change,2016-03-01,157.5000
224,209,oil service,2016-03-01,210.0000
225,210,tire change,2016-03-01,157.5000
226,210,oil service,2016-03-01,210.0000
227,213,tire change,2016-03-01,157.5000
228,213,oil service,2016-03-01,105.0000
229,216,tire change,2016-03-01,157.5000
230,216,oil service,2016-03-01,105.0000
231,218,tire change,2016-03-01,157.5000
232,218,oil service,2016-03-01,105.0000
233,219,tire change,2016-03-01,157.5000
234,219,oil service,2016-03-01,105.0000
235,221,tire change,2016-03-01,157.5000
236,221,oil service,2016-03-01,105.0000
237,224,tire change,2016-03-01,157.5000
238,224,oil service,2016-03-01,105.0000
239,226,tire change,2016-03-01,157.5000
240,226,oil service,2016-03-01,157.5000
241,227,tire change,2016-03-01,157.5000
242,227,oil service,2016-03-01,157.5000
243,228,tire change,2016-03-01,157.5000
244,228,oil service,2016-03-01,157.5000
245,233,tire change,2016-03-01,157.5000
246,233,oil service,2016-03-01,210.0000
247,234,tire change,2016-03-01,157.5000
248,234,oil service,2016-03-01,210.0000
249,235,tire change,2016-03-01,157.5000
250,235,oil service,2016-03-01,157.5000
251,236,tire change,2016-03-01,157.5000
252,236,oil service,2016-03-01,157.5000
253,238,tire change,2016-03-01,157.5000
254,238,oil service,2016-03-01,210.0000
255,239,tire change,2016-03-01,157.5000
256,239,oil service,2016-03-01,105.0000
257,243,tire change,2016-03-01,157.5000
258,243,oil service,2016-03-01,105.0000
259,244,tire change,2016-03-01,157.5000
260,244,oil service,2016-03-01,105.0000
261,245,tire change,2016-03-01,157.5000
262,245,oil service,2016-03-01,105.0000
263,247,tire change,2016-03-01,157.5000
264,247,oil service,2016-03-01,210.0000
265,248,tire change,2016-03-01,157.5000
266,248,oil service,2016-03-01,157.5000
267,249,tire change,2016-03-01,157.5000
268,249,oil service,2016-03-01,157.5000
269,251,tire change,2016-03-01,157.5000
270,251,oil service,2016-03-01,105.0000
271,252,tire change,2016-03-01,157.5000
272,252,oil service,2016-03-01,210.0000
273,253,tire change,2016-03-01,157.5000
274,253,oil service,2016-03-01,157.5000
275,255,tire change,2016-03-01,157.5000
276,255,oil service,2016-03-01,157.5000
277,258,tire change,2016-03-01,157.5000
278,258,oil service,2016-03-01,210.0000
279,259,tire change,2016-03-01,157.5000
280,259,oil service,2016-03-01,105.0000
281,261,tire change,2016-03-01,157.5000
282,261,oil service,2016-03-01,210.0000
283,265,tire change,2016-03-01,157.5000
284,265,oil service,2016-03-01,210.0000
285,266,tire change,2016-03-01,157.5000
286,266,oil service,2016-03-01,105.0000
287,267,tire change,2016-03-01,157.5000
288,267,oil service,2016-03-01,210.0000
289,270,tire change,2016-03-01,157.5000
290,270,oil service,2016-03-01,157.5000
291,271,tire change,2016-03-01,157.5000
292,271,oil service,2016-03-01,210.0000
293,275,tire change,2016-03-01,157.5000
294,275,oil service,2016-03-01,105.0000
295,278,tire change,2016-03-01,157.5000
296,278,oil service,2016-03-01,210.0000
297,280,tire change,2016-03-01,157.5000
298,280,oil service,2016-03-01,210.0000
299,281,tire change,2016-03-01,157.5000
300,281,oil service,2016-03-01,105.0000
301,282,tire change,2016-03-01,157.5000
302,282,oil service,2016-03-01,105.0000
303,286,tire change,2016-03-01,157.5000
304,286,oil service,2016-03-01,157.5000
305,287,tire change,2016-03-01,157.5000
306,287,oil service,2016-03-01,157.5000
307,288,tire change,2016-03-01,157.5000
308,288,oil service,2016-03-01,210.0000
309,291,tire change,2016-03-01,157.5000
310,291,oil service,2016-03-01,105.0000
311,293,tire change,2016-03-01,157.5000
312,293,oil service,2016-03-01,157.5000
313,296,tire change,2016-03-01,157.5000
314,296,oil service,2016-03-01,105.0000
315,297,tire change,2016-03-01,157.5000
316,297,oil service,2016-03-01,105.0000
317,298,tire change,2016-03-01,157.5000
318,298,oil service,2016-03-01,210.0000
319,304,tire change,2016-03-01,157.5000
320,304,oil service,2016-03-01,157.5000
321,305,tire change,2016-03-01,157.5000
322,305,oil service,2016-03-01,157.5000
323,306,tire change,2016-03-01,157.5000
324,306,oil service,2016-03-01,210.0000
325,307,tire change,2016-03-01,157.5000
326,307,oil service,2016-03-01,210.0000
327,308,tire change,2016-03-01,157.5000
328,308,oil service,2016-03-01,210.0000
329,312,tire change,2016-03-01,157.5000
330,312,oil service,2016-03-01,210.0000
331,313,tire change,2016-03-01,157.5000
332,313,oil service,2016-03-01,105.0000
333,314,tire change,2016-03-01,157.5000
334,314,oil service,2016-03-01,157.5000
335,316,tire change,2016-03-01,157.5000
336,316,oil service,2016-03-01,105.0000
337,317,tire change,2016-03-01,157.5000
338,317,oil service,2016-03-01,210.0000
339,318,tire change,2016-03-01,157.5000
340,318,oil service,2016-03-01,210.0000
341,320,tire change,2016-03-01,157.5000
342,320,oil service,2016-03-01,105.0000
343,322,tire change,2016-03-01,157.5000
344,322,oil service,2016-03-01,105.0000
345,324,tire change,2016-03-01,157.5000
346,324,oil service,2016-03-01,210.0000
347,325,tire change,2016-03-01,157.5000
348,325,oil service,2016-03-01,157.5000
349,326,tire change,2016-03-01,157.5000
350,326,oil service,2016-03-01,157.5000
351,328,tire change,2016-03-01,157.5000
352,328,oil service,2016-03-01,105.0000
353,330,tire change,2016-03-01,157.5000
354,330,oil service,2016-03-01,105.0000
355,331,tire change,2016-03-01,157.5000
356,331,oil service,2016-03-01,210.0000
357,332,tire change,2016-03-01,157.5000
358,332,oil service,2016-03-01,105.0000
359,335,tire change,2016-03-01,157.5000
360,335,oil service,2016-03-01,210.0000
361,336,tire change,2016-03-01,157.5000
362,336,oil service,2016-03-01,157.5000
363,337,tire change,2016-03-01,157.5000
364,337,oil service,2016-03-01,157.5000
365,339,tire change,2016-03-01,157.5000
366,339,oil service,2016-03-01,210.0000
367,341,tire change,2016-03-01,157.5000
368,341,oil service,2016-03-01,210.0000
369,342,tire change,2016-03-01,157.5000
370,342,oil service,2016-03-01,105.0000
371,346,tire change,2016-03-01,157.5000
372,346,oil service,2016-03-01,105.0000
373,349,tire change,2016-03-01,157.5000
374,349,oil service,2016-03-01,105.0000
375,350,tire change,2016-03-01,157.5000
376,350,oil service,2016-03-01,105.0000
377,352,tire change,2016-03-01,157.5000
378,352,oil service,2016-03-01,105.0000
379,354,tire change,2016-03-01,157.5000
380,354,oil service,2016-03-01,157.5000
381,355,tire change,2016-03-01,157.5000
382,355,oil service,2016-03-01,105.0000
383,356,tire change,2016-03-01,157.5000
384,356,oil service,2016-03-01,210.0000
385,357,tire change,2016-03-01,157.5000
386,357,oil service,2016-03-01,210.0000
387,358,tire change,2016-03-01,157.5000
388,358,oil service,2016-03-01,210.0000
389,360,tire change,2016-03-01,157.5000
390,360,oil service,2016-03-01,157.5000
391,361,tire change,2016-03-01,157.5000
392,361,oil service,2016-03-01,210.0000
393,362,tire change,2016-03-01,157.5000
394,362,oil service,2016-03-01,157.5000
395,364,tire change,2016-03-01,157.5000
396,364,oil service,2016-03-01,210.0000
397,365,tire change,2016-03-01,157.5000
398,365,oil service,2016-03-01,157.5000
399,367,tire change,2016-03-01,157.5000
400,367,oil service,2016-03-01,210.0000
401,369,tire change,2016-03-01,157.5000
402,369,oil service,2016-03-01,210.0000
403,371,tire change,2016-03-01,157.5000
404,371,oil service,2016-03-01,210.0000
405,372,tire change,2016-03-01,157.5000
406,372,oil service,2016-03-01,210.0000
407,373,tire change,2016-03-01,157.5000
408,373,oil service,2016-03-01,157.5000
409,374,tire change,2016-03-01,157.5000
410,374,oil service,2016-03-01,105.0000
411,375,tire change,2016-03-01,157.5000
412,375,oil service,2016-03-01,157.5000
413,376,tire change,2016-03-01,157.5000
414,376,oil service,2016-03-01,157.5000
415,378,tire change,2016-03-01,157.5000
416,378,oil service,2016-03-01,157.5000
417,379,tire change,2016-03-01,157.5000
418,379,oil service,2016-03-01,105.0000
419,381,tire change,2016-03-01,157.5000
420,381,oil service,2016-03-01,210.0000
421,382,tire change,2016-03-01,157.5000
422,382,oil service,2016-03-01,105.0000
423,384,tire change,2016-03-01,157.5000
424,384,oil service,2016-03-01,105.0000
425,386,tire change,2016-03-01,157.5000
426,386,oil service,2016-03-01,157.5000
427,387,tire change,2016-03-01,157.5000
428,387,oil service,2016-03-01,157.5000
429,389,tire change,2016-03-01,157.5000
430,389,oil service,2016-03-01,210.0000
431,390,tire change,2016-03-01,157.5000
432,390,oil service,2016-03-01,105.0000
433,391,tire change,2016-03-01,157.5000
434,391,oil service,2016-03-01,210.0000
435,392,tire change,2016-03-01,157.5000
436,392,oil service,2016-03-01,157.5000
437,393,tire change,2016-03-01,157.5000
438,393,oil service,2016-03-01,105.0000
439,394,tire change,2016-03-01,157.5000
440,394,oil service,2016-03-01,105.0000
441,395,tire change,2016-03-01,157.5000
442,395,oil service,2016-03-01,105.0000
443,396,tire change,2016-03-01,157.5000
444,396,oil service,2016-03-01,105.0000
445,397,tire change,2016-03-01,157.5000
446,397,oil service,2016-03-01,210.0000
447,399,tire change,2016-03-01,157.5000
448,399,oil service,2016-03-01,210.0000
449,400,tire change,2016-03-01,157.5000
450,400,oil service,2016-03-01,105.0000
451,401,tire change,2016-03-01,157.5000
452,401,oil service,2016-03-01,105.0000
453,405,tire change,2016-03-01,157.5000
454,405,oil service,2016-03-01,157.5000
455,406,tire change,2016-03-01,157.5000
456,406,oil service,2016-03-01,210.0000
457,408,tire change,2016-03-01,157.5000
458,408,oil service,2016-03-01,210.0000
459,409,tire change,2016-03-01,157.5000
460,409,oil service,2016-03-01,157.5000
461,410,tire change,2016-03-01,157.5000
462,410,oil service,2016-03-01,157.5000
463,411,tire change,2016-03-01,157.5000
464,411,oil service,2016-03-01,210.0000
465,412,tire change,2016-03-01,157.5000
466,412,oil service,2016-03-01,105.0000
467,413,tire change,2016-03-01,157.5000
468,413,oil service,2016-03-01,210.0000
469,414,tire change,2016-03-01,157.5000
470,414,oil service,2016-03-01,210.0000
471,415,tire change,2016-03-01,157.5000
472,415,oil service,2016-03-01,157.5000
473,416,tire change,2016-03-01,157.5000
474,416,oil service,2016-03-01,105.0000
475,417,tire change,2016-03-01,157.5000
476,417,oil service,2016-03-01,105.0000
477,418,tire change,2016-03-01,157.5000
478,418,oil service,2016-03-01,157.5000
479,419,tire change,2016-03-01,157.5000
480,419,oil service,2016-03-01,157.5000
481,420,tire change,2016-03-01,157.5000
482,420,oil service,2016-03-01,105.0000
483,421,tire change,2016-03-01,157.5000
484,421,oil service,2016-03-01,105.0000
485,422,tire change,2016-03-01,157.5000
486,422,oil service,2016-03-01,157.5000
487,423,tire change,2016-03-01,157.5000
488,423,oil service,2016-03-01,210.0000
489,424,tire change,2016-03-01,157.5000
490,424,oil service,2016-03-01,157.5000
491,425,tire change,2016-03-01,157.5000
492,425,oil service,2016-03-01,210.0000
493,426,tire change,2016-03-01,157.5000
494,426,oil service,2016-03-01,105.0000
495,428,tire change,2016-03-01,157.5000
496,428,oil service,2016-03-01,210.0000
497,429,tire change,2016-03-01,157.5000
498,429,oil service,2016-03-01,157.5000
499,430,tire change,2016-03-01,157.5000
500,430,oil service,2016-03-01,210.0000
501,431,tire change,2016-03-01,157.5000
502,431,oil service,2016-03-01,210.0000
503,432,tire change,2016-03-01,157.5000
504,432,oil service,2016-03-01,105.0000
505,433,tire change,2016-03-01,157.5000
506,433,oil service,2016-03-01,105.0000
507,434,tire change,2016-03-01,157.5000
508,434,oil service,2016-03-01,105.0000
509,435,tire change,2016-03-01,157.5000
510,435,oil service,2016-03-01,105.0000
511,436,tire change,2016-03-01,157.5000
512,436,oil service,2016-03-01,105.0000
513,438,tire change,2016-03-01,157.5000
514,438,oil service,2016-03-01,157.5000
515,439,tire change,2016-03-01,157.5000
516,439,oil service,2016-03-01,157.5000
517,440,tire change,2016-03-01,157.5000
518,440,oil service,2016-03-01,157.5000
519,441,tire change,2016-03-01,157.5000
520,441,oil service,2016-03-01,210.0000
521,442,tire change,2016-03-01,157.5000
522,442,oil service,2016-03-01,105.0000
523,443,tire change,2016-03-01,157.5000
524,443,oil service,2016-03-01,105.0000
525,444,tire change,2016-03-01,157.5000
526,444,oil service,2016-03-01,105.0000
527,446,tire change,2016-03-01,157.5000
528,446,oil service,2016-03-01,210.0000
529,447,tire change,2016-03-01,157.5000
530,447,oil service,2016-03-01,210.0000
531,448,tire change,2016-03-01,157.5000
532,448,oil service,2016-03-01,105.0000
533,450,tire change,2016-03-01,157.5000
534,450,oil service,2016-03-01,105.0000
535,451,tire change,2016-03-01,157.5000
536,451,oil service,2016-03-01,157.5000
537,453,tire change,2016-03-01,157.5000
538,453,oil service,2016-03-01,157.5000
539,456,tire change,2016-03-01,157.5000
540,456,oil service,2016-03-01,210.0000
541,457,tire change,2016-03-01,157.5000
542,457,oil service,2016-03-01,210.0000
543,458,tire change,2016-03-01,157.5000
544,458,oil service,2016-03-01,105.0000
545,459,tire change,2016-03-01,157.5000
546,459,oil service,2016-03-01,210.0000
547,461,tire change,2016-03-01,157.5000
548,461,oil service,2016-03-01,157.5000
549,462,tire change,2016-03-01,157.5000
550,462,oil service,2016-03-01,105.0000
551,463,tire change,2016-03-01,157.5000
552,463,oil service,2016-03-01,210.0000
553,464,tire change,2016-03-01,157.5000
554,464,oil service,2016-03-01,210.0000
555,465,tire change,2016-03-01,157.5000
556,465,oil service,2016-03-01,157.5000
557,466,tire change,2016-03-01,157.5000
558,466,oil service,2016-03-01,210.0000
559,468,tire change,2016-03-01,157.5000
560,468,oil service,2016-03-01,210.0000
561,474,tire change,2016-03-01,157.5000
562,474,oil service,2016-03-01,210.0000
563,475,tire change,2016-03-01,157.5000
564,475,oil service,2016-03-01,210.0000
565,476,tire change,2016-03-01,157.5000
566,476,oil service,2016-03-01,210.0000
567,477,tire change,2016-03-01,157.5000
568,477,oil service,2016-03-01,210.0000
569,478,tire change,2016-03-01,157.5000
570,478,oil service,2016-03-01,105.0000
571,479,tire change,2016-03-01,157.5000
572,479,oil service,2016-03-01,105.0000
573,480,tire change,2016-03-01,157.5000
574,480,oil service,2016-03-01,157.5000
575,481,tire change,2016-03-01,157.5000
576,481,oil service,2016-03-01,157.5000
577,482,tire change,2016-03-01,157.5000
578,482,oil service,2016-03-01,157.5000
579,483,tire change,2016-03-01,157.5000
580,483,oil service,2016-03-01,157.5000
581,484,tire change,2016-03-01,157.5000
582,484,oil service,2016-03-01,105.0000
583,485,tire change,2016-03-01,157.5000
584,485,oil service,2016-03-01,157.5000
585,487,tire change,2016-03-01,157.5000
586,487,oil service,2016-03-01,105.0000
587,488,tire change,2016-03-01,157.5000
588,488,oil service,2016-03-01,210.0000
589,491,tire change,2016-03-01,157.5000
590,491,oil service,2016-03-01,157.5000
591,492,tire change,2016-03-01,157.5000
592,492,oil service,2016-03-01,157.5000
593,493,tire change,2016-03-01,157.5000
594,493,oil service,2016-03-01,210.0000
595,494,tire change,2016-03-01,157.5000
596,494,oil service,2016-03-01,157.5000
597,497,tire change,2016-03-01,157.5000
598,497,oil service,2016-03-01,210.0000
599,498,tire change,2016-03-01,157.5000
600,498,oil service,2016-03-01,210.0000
601,70,tire change,2016-03-02,157.5000
602,70,oil service,2016-03-02,157.5000
603,74,tire change,2016-03-02,157.5000
604,74,oil service,2016-03-02,105.0000
605,164,tire change,2016-03-02,157.5000
606,164,oil service,2016-03-02,157.5000
607,181,tire change,2016-03-02,157.5000
608,181,oil service,2016-03-02,210.0000
609,201,tire change,2016-03-02,157.5000
610,201,oil service,2016-03-02,157.5000
611,203,tire change,2016-03-02,157.5000
612,203,oil service,2016-03-02,210.0000
613,246,tire change,2016-03-02,157.5000
614,246,oil service,2016-03-02,105.0000
615,263,tire change,2016-03-02,157.5000
616,263,oil service,2016-03-02,105.0000
617,264,tire change,2016-03-02,157.5000
618,264,oil service,2016-03-02,105.0000
619,268,tire change,2016-03-02,157.5000
620,268,oil service,2016-03-02,157.5000
621,283,tire change,2016-03-02,157.5000
622,283,oil service,2016-03-02,210.0000
623,292,tire change,2016-03-02,157.5000
624,292,oil service,2016-03-02,105.0000
625,385,tire change,2016-03-02,157.5000
626,385,oil service,2016-03-02,210.0000
627,398,tire change,2016-03-02,157.5000
628,398,oil service,2016-03-02,210.0000
629,404,tire change,2016-03-02,157.5000
630,404,oil service,2016-03-02,105.0000
631,427,tire change,2016-03-02,157.5000
632,427,oil service,2016-03-02,105.0000
633,454,tire change,2016-03-02,157.5000
634,454,oil service,2016-03-02,105.0000
635,469,tire change,2016-03-02,157.5000
636,469,oil service,2016-03-02,105.0000
637,495,tire change,2016-03-02,157.5000
638,495,oil service,2016-03-02,105.0000
639,212,tire change,2016-03-03,157.5000
640,212,oil service,2016-03-03,210.0000
641,274,tire change,2016-03-03,157.5000
642,274,oil service,2016-03-03,105.0000
643,7,tire change,2016-03-04,157.5000
644,7,oil service,2016-03-04,210.0000
645,10,tire change,2016-03-04,157.5000
646,10,oil service,2016-03-04,210.0000
647,32,tire change,2016-03-04,157.5000
648,32,oil service,2016-03-04,157.5000
649,35,tire change,2016-03-04,157.5000
650,35,oil service,2016-03-04,210.0000
651,36,tire change,2016-03-04,157.5000
652,36,oil service,2016-03-04,157.5000
653,37,tire change,2016-03-04,157.5000
654,37,oil service,2016-03-04,210.0000
655,38,tire change,2016-03-04,157.5000
656,38,oil service,2016-03-04,157.5000
657,39,tire change,2016-03-04,157.5000
658,39,oil service,2016-03-04,210.0000
659,41,tire change,2016-03-04,157.5000
660,41,oil service,2016-03-04,157.5000
661,45,tire change,2016-03-04,157.5000
662,45,oil service,2016-03-04,157.5000
663,46,tire change,2016-03-04,157.5000
664,46,oil service,2016-03-04,210.0000
665,51,tire change,2016-03-04,157.5000
666,51,oil service,2016-03-04,210.0000
667,52,tire change,2016-03-04,157.5000
668,52,oil service,2016-03-04,105.0000
669,53,tire change,2016-03-04,157.5000
670,53,oil service,2016-03-04,210.0000
671,57,tire change,2016-03-04,157.5000
672,57,oil service,2016-03-04,210.0000
673,63,tire change,2016-03-04,157.5000
674,63,oil service,2016-03-04,157.5000
675,65,tire change,2016-03-04,157.5000
676,65,oil service,2016-03-04,157.5000
677,67,tire change,2016-03-04,157.5000
678,67,oil service,2016-03-04,157.5000
679,68,tire change,2016-03-04,157.5000
680,68,oil service,2016-03-04,157.5000
681,73,tire change,2016-03-04,157.5000
682,73,oil service,2016-03-04,157.5000
683,78,tire change,2016-03-04,157.5000
684,78,oil service,2016-03-04,210.0000
685,79,tire change,2016-03-04,157.5000
686,79,oil service,2016-03-04,105.0000
687,82,tire change,2016-03-04,157.5000
688,82,oil service,2016-03-04,105.0000
689,89,tire change,2016-03-04,157.5000
690,89,oil service,2016-03-04,210.0000
691,90,tire change,2016-03-04,157.5000
692,90,oil service,2016-03-04,105.0000
693,92,tire change,2016-03-04,157.5000
694,92,oil service,2016-03-04,105.0000
695,94,tire change,2016-03-04,157.5000
696,94,oil service,2016-03-04,157.5000
697,101,tire change,2016-03-04,157.5000
